,ISBN,Book-Title,Rating-Count,Average-Rating
81,0061009059,One for the Money (Stephanie Plum Novels (Paperback)),134,7.940298507462686
82,0316096199,Lucky : A Memoir,133,8.19548872180451
83,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),133,9.082706766917294
84,0440225701,The Street Lawyer,133,7.62406015037594
85,0684874350,ANGELA'S ASHES,132,8.386363636363637
86,0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",131,8.83969465648855
87,0446606812,Message in a Bottle,131,7.435114503816794
88,014028009X,Bridget Jones's Diary,131,7.732824427480916
89,0385486804,Into the Wild,130,7.938461538461539
90,0142000205,Icy Sparks,129,7.27906976744186
91,0312305060,The Hours: A Novel,129,7.627906976744186
92,0385722206,Balzac and the Little Chinese Seamstress : A Novel,129,8.023255813953488
93,0743237188,Fall On Your Knees (Oprah #45),127,7.574803149606299
94,0380789019,Neverwhere,126,8.023809523809524
95,0439064864,Harry Potter and the Chamber of Secrets (Book 2),126,8.920634920634921
96,068484477X,STONES FROM THE RIVER,125,8.056
97,0446608955,A Walk to Remember,124,7.854838709677419
98,0316569321,White Oleander : A Novel,120,7.5
99,0553572997,The Alienist,120,7.766666666666667
100,0385505833,Skipping Christmas,120,7.441666666666666
101,0449005615,Seabiscuit: An American Legend,120,8.483333333333333
102,0590353403,Harry Potter and the Sorcerer's Stone (Book 1),119,8.983193277310924
103,006101351X,The Perfect Storm : A True Story of Men Against the Sea,118,7.38135593220339
104,0679746048,"Girl, Interrupted",118,7.338983050847458
105,0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),117,8.837606837606838
106,0060915544,The Bean Trees,117,8.521367521367521
107,0446364193,Along Came a Spider (Alex Cross Novels),116,8.03448275862069
108,0385265700,The Book of Ruth (Oprah's Book Club (Paperback)),115,7.4
109,0312983271,Full House (Janet Evanovich's Full Series),113,6.920353982300885
110,0140298479,Bridget Jones: The Edge of Reason,113,7.539823008849558
111,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",113,7.371681415929204
112,0312924585,Silence of the Lambs,112,8.366071428571429
113,0804114986,The Bonesetter's Daughter,112,7.901785714285714
114,0671001795,Two for the Dough,112,8.258928571428571
115,0385720106,A Map of the World,111,7.0
116,0449212602,The Handmaid's Tale,111,8.495495495495495
117,0439139600,Harry Potter and the Goblet of Fire (Book 4),110,8.954545454545455
118,0446611867,A Bend in the Road,109,7.486238532110092
119,0399501487,Lord of the Flies,108,7.9907407407407405
120,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,107,7.794392523364486
121,0385503822,The Summons,107,7.280373831775701
122,0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),106,8.20754716981132
123,0684801523,The Great Gatsby,106,7.688679245283019
124,0440212561,Outlander,105,8.58095238095238
125,0062502182,The Alchemist: A Fable About Following Your Dream,105,8.076190476190476
126,0515131229,Dance upon the Air (Three Sisters Island Trilogy),105,8.038095238095238
127,1573229326,How to Be Good,104,6.673076923076923
128,0380731851,Mystic River,104,7.701923076923077
129,0446612545,The Beach House,104,7.836538461538462
130,0312966970,Four To Score (A Stephanie Plum Novel),103,8.135922330097088
131,0553279912,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),102,7.637254901960785
132,0140067477,The Tao of Pooh,101,8.03960396039604
133,0440219078,The Giver (21st Century Reference),101,8.663366336633663
134,0451524934,1984,101,8.772277227722773
135,0440224675,Hannibal,101,7.158415841584159
136,0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),100,7.51
137,0380002930,Watership Down,100,8.62
138,0345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),100,7.42
139,0060987529,Confessions of an Ugly Stepsister : A Novel,99,7.4646464646464645
140,0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,99,7.525252525252525
141,0440226104,Black and Blue,98,7.5
142,080410753X,The Kitchen God's Wife,98,8.010204081632653
143,068484267X,Angela's Ashes: A Memoir,98,8.26530612244898
144,0345378490,Congo,98,7.255102040816326
145,0446607657,When the Wind Blows,98,7.510204081632653
146,038079487X,What Looks Like Crazy On An Ordinary Day,98,7.479591836734694
147,0425154092,From Potter's Field,98,7.704081632653061
148,0345384466,The Witching Hour (Lives of the Mayfair Witches),97,7.958762886597938
149,0609804138,The Sweet Potato Queens' Book of Love,97,7.628865979381444
150,034540288X,The Lost World,97,7.22680412371134
151,0060977493,The God of Small Things,97,7.680412371134021
152,0553582755,One Door Away from Heaven,96,7.6875
153,1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),95,8.452631578947368
154,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),95,7.71578947368421
155,0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),95,8.157894736842104
156,0440235596,Tara Road,95,7.578947368421052
157,0345439104,Drowning Ruth (Oprah's Book Club),95,7.505263157894737
158,0671042858,The Girl Who Loved Tom Gordon,95,7.063157894736842
159,0671041789,The Green Mile,94,8.48936170212766
160,0151008116,Life of Pi,94,8.138297872340425
161,0060987561,I Know This Much Is True,94,8.26595744680851
162,0553375407,Ishmael: An Adventure of the Mind and Spirit,94,8.457446808510639
163,074343627X,Dreamcatcher,94,7.276595744680851
164,0425152251,Sophie's World: A Novel About the History of Philosophy,94,7.712765957446808
165,0312282990,The Amazing Adventures of Kavalier &amp; Clay,94,8.106382978723405
166,080410526X,All I Really Need to Know,93,7.989247311827957
167,0671027387,Deception Point,93,7.602150537634409
168,0345387651,The Cider House Rules,92,7.728260869565218
169,0451526341,Animal Farm,92,8.369565217391305
170,1573225789,The Color of Water: A Black Man's Tribute to His White Mother,92,8.25
171,0312980140,Seven Up (A Stephanie Plum Novel),92,8.08695652173913
172,0446611212,Violets Are Blue,92,7.695652173913044
173,0345438329,Big Stone Gap: A Novel (Ballantine Reader's Circle),92,7.5
174,0553272535,Night,92,8.532608695652174
175,0440241537,The King of Torts,92,7.619565217391305
176,0312995423,Digital Fortress : A Thriller,91,7.7032967032967035
177,0066214122,Prey: A Novel,91,7.813186813186813
178,0440236703,Tell No One,90,8.044444444444444
179,0679745203,The English Patient,90,7.433333333333334
180,0446670251,The Virgin Suicides,90,7.7555555555555555
181,067102423X,Bag of Bones,90,7.944444444444445
182,0446612790,2nd Chance,90,7.722222222222222
183,0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,90,7.155555555555556
184,034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),90,7.188888888888889
185,0385498802,Bee Season: A Novel,90,7.5
186,0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),89,8.213483146067416
187,051513287X,Face the Fire (Three Sisters Island Trilogy),89,7.921348314606742
188,0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),89,8.101123595505618
189,0446610399,The Rescue,89,7.415730337078652
190,0446532231,"Dude, Where's My Country?",89,8.337078651685394
191,0385508042,The King of Torts,89,7.415730337078652
192,0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),89,6.685393258426966
193,0743227441,The Other Boleyn Girl,88,8.431818181818182
194,0142001430,Year of Wonders,88,8.318181818181818
195,0425175405,Black Notice,88,7.693181818181818
196,0345380371,Rising Sun,88,7.329545454545454
197,0441003257,Good Omens,87,8.195402298850574
198,0451166892,The Pillars of the Earth,87,8.39080459770115
199,0099771519,Memoirs of a Geisha Uk,86,8.174418604651162
200,0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),86,8.406976744186046
201,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,86,8.593023255813954
202,0446605484,Roses Are Red (Alex Cross Novels),85,8.117647058823529
203,0312971346,High Five (A Stephanie Plum Novel),85,8.352941176470589
204,0425180638,The Last Precinct,84,7.309523809523809
205,0671004530,On the Street Where You Live,84,7.654761904761905
206,080411109X,The Hundred Secret Senses,84,7.869047619047619
207,0061097101,The Saving Graces: A Novel,83,7.481927710843373
208,0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),83,7.72289156626506
209,0345350499,The Mists of Avalon,83,8.63855421686747
210,0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,83,8.337349397590362
211,0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),83,7.843373493975903
212,0345339711,"The Two Towers (The Lord of the Rings, Part 2)",83,9.120481927710843
213,014025448X,At Home in Mitford (The Mitford Years),83,7.771084337349397
214,0316781266,The Last Time They Met : A Novel,82,6.7926829268292686
215,0671038184,Jewel,82,7.463414634146342
216,0451184963,Insomnia,81,7.703703703703703
217,0449003795,P Is for Peril,81,7.2592592592592595
218,0425147622,The Body Farm,81,8.024691358024691
219,0440498058,A Wrinkle In Time,81,8.876543209876543
220,038550120X,A Painted House,81,7.580246913580247
221,0446601241,Kiss the Girls,81,7.864197530864198
222,0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),80,8.1
223,0345413350,"The Golden Compass (His Dark Materials, Book 1)",80,7.9625
224,014029628X,Girl in Hyacinth Blue,80,7.8625
225,0446679593,Suzanne's Diary for Nicholas,80,7.7125
226,0440211263,Circle of Friends,80,8.0625
227,0316969443,Suzanne's Diary for Nicholas,79,7.594936708860759
228,0345402871,Airframe,79,7.455696202531645
229,0452264464,Beloved (Plume Contemporary Fiction),79,7.772151898734177
230,0060175400,The Poisonwood Bible,78,8.384615384615385
231,0871136791,Cold Mountain,78,8.102564102564102
232,0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),78,7.846153846153846
233,0141000198,Bridget Jones's Diary,78,7.5256410256410255
234,0316969680,The Beach House,78,7.448717948717949
235,0345391055,Disclosure,78,7.358974358974359
236,0553296981,Anne Frank: The Diary of a Young Girl,77,8.7012987012987
237,0061015725,Prey,77,7.571428571428571
238,0441569595,Neuromancer (Remembering Tomorrow),77,7.6103896103896105
239,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,77,7.805194805194805
240,0440998050,A Wrinkle in Time,77,8.597402597402597
241,0446606189,Cat &amp; Mouse (Alex Cross Novels),77,8.0
242,0345339738,"The Return of the King (The Lord of the Rings, Part 3)",77,9.402597402597403
243,0684848783,Tis : A Memoir,77,7.142857142857143
244,0553268880,The Prince of Tides,76,7.881578947368421
245,0440414806,Holes (Yearling Newbery),76,8.657894736842104
246,031242227X,Running with Scissors: A Memoir,76,7.5131578947368425
247,0515132020,Heaven and Earth (Three Sisters Island Trilogy),76,7.921052631578948
248,0553277472,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,75,7.653333333333333
249,0451156609,The Tommyknockers,75,7.16
250,0441172717,Dune (Remembering Tomorrow),75,8.973333333333333
251,0060391626,I Know This Much Is True (Oprah's Book Club),75,8.36
252,0671024248,Hearts In Atlantis,75,7.6
253,067088300X,The Girls' Guide to Hunting and Fishing,74,6.95945945945946
254,0385511612,Bleachers,74,6.648648648648648
255,0449907481,A Thousand Acres (Ballantine Reader's Circle),74,7.527027027027027
256,0767900383,Under the Tuscan Sun,74,7.256756756756757
257,0553260111,The Bourne Identity,74,7.5675675675675675
258,0345348036,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,74,8.837837837837839
259,039592720X,Interpreter of Maladies,74,8.364864864864865
260,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",74,7.648648648648648
261,0446604666,Sick Puppy,73,7.698630136986301
262,0312243022,The Hours : A Novel,73,7.52054794520548
263,0380018179,The Thorn Birds,73,8.068493150684931
264,0375703055,Ellen Foster,73,7.342465753424658
265,0425162443,The Rapture of Canaan,73,7.3561643835616435
266,0330332775,Bridget Jones's Diary,72,7.458333333333333
267,044651862X,The Celestine Prophecy (Celestine Prophecy),72,7.222222222222222
268,0345391802,The Hitchhiker's Guide to the Galaxy,72,8.402777777777779
269,0385479565,The Hot Zone,72,7.958333333333333
270,0061097314,The Bean Trees,72,7.861111111111111
271,0312421273,The Corrections: A Novel,72,7.138888888888889
272,0446608815,Pop Goes the Weasel,72,7.416666666666667
273,0425163407,Unnatural Exposure,72,7.791666666666667
274,0553582747,From the Corner of His Eye,72,8.0
275,0441790348,Stranger in a Strange Land (Remembering Tomorrow),72,8.333333333333334
276,0425182908,Isle of Dogs,71,5.338028169014085
277,0425167313,Here on Earth,71,7.211267605633803
278,0440215625,Dragonfly in Amber,70,8.471428571428572
279,0312983867,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),70,8.228571428571428
280,0345378482,The Andromeda Strain,70,7.6
281,0451169530,The Stand: Complete and Uncut,70,8.485714285714286
282,0786885688,Shopgirl,70,7.185714285714286
283,1558745157,The Lost Boy: A Foster Child's Search for the Love of a Family,70,8.2
284,0743436210,Hearts in Atlantis,70,7.514285714285714
285,0451172817,Needful Things,70,7.942857142857143
286,0553250531,The Valley of Horses,70,8.1
287,0060929871,Brave New World,69,7.855072463768116
288,0446611085,Suzanne's Diary for Nicholas,69,7.666666666666667
289,0767905385,Catch Me If You Can: The True Story of a Real Fake,69,7.927536231884058
290,0142004235,East of Eden (Oprah's Book Club),69,8.63768115942029
291,0671727796,The Color Purple,69,8.492753623188406
292,0345413903,The Murder Book,69,7.753623188405797
293,0802130208,A Confederacy of Dunces (Evergreen Book),69,7.202898550724638
294,0743225406,The Shipping News : A Novel,69,7.3768115942028984
295,0425169863,Point of Origin,69,7.753623188405797
296,0553279378,I Know Why the Caged Bird Sings,68,8.073529411764707
297,0142001805,The Eyre Affair: A Novel,68,8.382352941176471
298,0446604801,Jack &amp; Jill (Alex Cross Novels),68,7.838235294117647
299,0312990456,One for the Money (A Stephanie Plum Novel),68,8.397058823529411
300,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),68,7.117647058823529
301,0451176464,Gerald's Game,68,7.367647058823529
302,0064400557,Charlotte's Web (Trophy Newbery),68,9.073529411764707
303,0385336179,Shopaholic Ties the Knot,68,7.897058823529412
304,0451167317,The Dark Half,68,7.632352941176471
305,0452283205,Falling Angels,68,7.455882352941177
306,0671004107,Contact,67,7.82089552238806
307,038549081X,The Handmaid's Tale : A Novel,67,8.35820895522388
308,0679731148,A Year in Provence,67,8.0
309,0375705856,Plainsong (Vintage Contemporaries),67,7.686567164179104
310,0804111359,Secret History,67,7.462686567164179
311,0060921145,Animal Dreams,67,7.970149253731344
312,0316777730,Naked,67,8.17910447761194
313,0060958022,Five Quarters of the Orange,67,7.597014925373134
314,0440235162,The Smoke Jumper,66,7.606060606060606
315,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),66,7.787878787878788
316,0140244824,Songs in Ordinary Time (Oprah's Book Club (Paperback)),66,6.53030303030303
317,0449003787,"\O\"" Is for Outlaw""",66,7.333333333333333
318,0515128554,Heart of the Sea (Irish Trilogy),65,7.876923076923077
319,0316899984,"River, Cross My Heart",65,6.8307692307692305
320,0446531332,Nights in Rodanthe,65,7.7846153846153845
321,0553580221,False Memory,65,7.753846153846154
322,0786867647,Lucky Man: A Memoir,65,8.23076923076923
323,0553273914,The House of the Spirits,65,8.246153846153845
324,0525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,65,8.615384615384615
325,0671014196,The Summerhouse,65,7.584615384615384
326,038572179X,Atonement : A Novel,65,7.630769230769231
327,0451203771,Scarlet Feather,65,7.6
328,0316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),65,7.753846153846154
329,0671027344,The Perks of Being a Wallflower,65,8.23076923076923
330,042516098X,Hornet's Nest,64,6.640625
331,0679751521,Midnight in the Garden of Good and Evil,64,7.46875
332,089480829X,What to Expect When You're Expecting (Revised Edition),64,8.265625
333,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),63,8.031746031746032
334,0446609404,Cradle and All,63,7.507936507936508
335,0425158616,Cause of Death,63,7.587301587301587
336,0452269571,Bastard Out of Carolina,63,8.238095238095237
337,0345435168,Open House (Oprah's Book Club (Paperback)),63,7.222222222222222
338,0375703861,White Teeth: A Novel,63,7.444444444444445
339,0515126772,Jewels of the Sun (Irish Trilogy),63,7.968253968253968
340,0553574574,Beach Music,63,7.619047619047619
341,0385510438,The Last Juror,63,8.34920634920635
342,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",63,7.888888888888889
343,0380977788,Coraline,63,8.222222222222221
344,0670892963,Bridget Jones : The Edge of Reason,63,7.285714285714286
345,0671042262,The Blue Nowhere : A Novel,62,8.17741935483871
346,0316780375,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,62,7.241935483870968
347,1878424319,The Four Agreements: A Practical Guide to Personal Freedom,62,7.5
348,0679734775,The House on Mango Street (Vintage Contemporaries),62,7.419354838709677
349,0743418204,In Her Shoes : A Novel,62,7.693548387096774
350,0670894605,The Secret Life of Bees,62,8.516129032258064
351,0345465083,Seabiscuit,62,8.241935483870968
352,0553579754,Fear Nothing,62,7.67741935483871
353,0374129983,The Corrections,61,6.80327868852459
354,0515128546,Tears of the Moon (Irish Trilogy),61,7.868852459016393
355,0385730586,Sisterhood of the Traveling Pants,61,8.245901639344263
356,0399149155,Q Is for Quarry,61,8.065573770491802
357,0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",61,8.78688524590164
358,0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",61,8.278688524590164
359,0385497466,The Brethren,61,7.245901639344262
360,0451183665,A Case of Need,61,6.950819672131147
361,038550926X,The Devil Wears Prada : A Novel,61,7.016393442622951
362,0515130389,Carolina Moon,61,7.344262295081967
363,0515135062,Three Fates,61,7.901639344262295
364,0515132187,The Villa,60,7.25
365,0060199652,Prodigal Summer,60,8.266666666666667
366,0684867621,The Girl Who Loved Tom Gordon : A Novel,60,7.116666666666666
367,0380710218,Postmortem,60,7.9
368,0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),60,8.0
369,0385720955,The Blind Assassin,60,7.5
370,0316781142,The Last Time They Met : A Novel,60,6.95
371,0451177096,Dolores Claiborne,60,7.833333333333333
372,0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),60,8.116666666666667
373,0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),60,7.733333333333333
374,080411868X,"Welcome to the World, Baby Girl!",60,7.6
375,034541389X,Flesh and Blood,60,7.316666666666666
376,0316666009,1st to Die: A Novel,59,7.661016949152542
377,0679444815,Timeline,59,7.864406779661017
378,0743211375,From a Buick 8 : A Novel,59,7.288135593220339
379,034536676X,The World According to Garp,59,8.186440677966102
380,0743412028,Pay It Forward,59,7.610169491525424
381,0425143325,Without Remorse,59,7.830508474576271
382,0312422156,Middlesex: A Novel,59,8.305084745762711
383,0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,59,7.610169491525424
384,0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",59,7.440677966101695
385,0671617028,The Color Purple,59,8.694915254237289
386,014023313X,The Stone Diaries,59,7.47457627118644
387,0842329242,Nicolae: The Rise of Antichrist (Left Behind No. 3),59,8.254237288135593
388,0316693200,2nd Chance,59,7.8474576271186445
389,0316693006,Four Blind Mice,59,8.508474576271187
390,0425182878,Chosen Prey,59,7.762711864406779
391,0609610597,"The Shelters of Stone (Earth's Children Series, No 5)",58,7.258620689655173
392,0394820371,The Phantom Tollbooth,58,8.551724137931034
393,0385472951,The Partner,58,7.637931034482759
394,0451191145,Atlas Shrugged,58,8.137931034482758
395,0743203631,Gap Creek: The Story Of A Marriage,58,7.482758620689655
396,0446359866,Presumed Innocent,58,7.5344827586206895
397,0399150897,Blow Fly: A Scarpetta Novel,58,7.327586206896552
398,0671004573,Before I Say Good-Bye,58,7.586206896551724
399,140003065X,A Fine Balance,58,8.051724137931034
400,0451160525,"The Gunslinger (The Dark Tower, Book 1)",58,8.137931034482758
401,006016848X,"Men Are from Mars, Women Are from Venus: A Practical Guide for Improving Communication and Getting What You Want in Your Relationships",57,6.947368421052632
402,0688177751,Miss Julia Speaks Her Mind : A Novel,57,7.526315789473684
403,0345424719,A Widow for One Year,57,8.017543859649123
404,0316777722,Me Talk Pretty One Day,57,7.807017543859649
405,0553274295,Where the Red Fern Grows,57,8.666666666666666
406,0671793489,All Around the Town,57,8.140350877192983
407,0446394521,Daisy Fay and the Miracle Man,57,7.56140350877193
408,0380012863,Jonathan Livingston Seagull,57,8.105263157894736
409,0743211383,Dreamcatcher,57,6.964912280701754
410,0064472272,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",57,7.947368421052632
411,038542017X,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",57,7.894736842105263
412,0385490992,The Street Lawyer,57,7.421052631578948
413,0440224624,The Loop,57,7.228070175438597
414,0312265867,To the Nines: A Stephanie Plum Novel,57,8.701754385964913
415,055356451X,Night Sins,56,7.964285714285714
416,1592400876,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",56,8.5
417,0440221595,The Glass Lake,56,7.964285714285714
418,0446520802,The Notebook,56,8.410714285714286
419,0553275976,The Bonfire of the Vanities,56,7.232142857142857
420,0312306326,Visions of Sugar Plums,56,7.428571428571429
421,0452284449,The Virgin Blue,56,7.839285714285714
422,0345369947,The Mummy or Ramses the Damned,56,7.910714285714286
423,0671011367,Deja Dead,56,7.25
424,1573229571,About a Boy (Movie Tie-In),56,7.910714285714286
425,0375502238,Blessings,56,7.803571428571429
426,0671693816,Wifey,56,6.696428571428571
427,0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),55,7.109090909090909
428,0446607711,The Simple Truth,55,7.163636363636364
429,0449221482,J Is for Judgment,55,7.963636363636364
430,0385424728,The Chamber,55,7.3090909090909095
431,0375412824,The Dive From Clausen's Pier (Alex Awards),55,7.4363636363636365
432,0345436911,The Dress Lodger (Ballantine Reader's Circle),55,7.472727272727273
433,0446606324,The Winner,55,7.2727272727272725
434,0671867156,Pretend You Don't See Her,55,8.127272727272727
435,0449221512,I Is for Innocent,55,7.5636363636363635
436,0679735771,American Psycho (Vintage Contemporaries),55,6.9818181818181815
437,0671758896,"Loves Music, Loves to Dance",54,7.388888888888889
438,1559029838,Call of the Wild,54,7.851851851851852
439,0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),54,8.0
440,0375506039,Open House,54,7.277777777777778
441,0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),54,8.333333333333334
